iteration,DAGWO_r0.1,DAGWO_r0.2,DAGWO_r0.3,DAGWO_r0.4,DAGWO_r0.5,GWO,DA
152,2.0058753333333334E8,2.028632E8,2.140144E8,2.2051933333333334E8,2.296218E8,2.456562E8,2.0763826666666666E8
153,1.9601266666666666E8,2.02219E8,2.1381893333333334E8,2.2180886666666666E8,2.2465326666666666E8,2.482186E8,2.0763826666666666E8
154,1.9864426666666666E8,2.5383226666666666E8,2.1100793333333334E8,2.1808353333333334E8,2.278854E8,2.4541946666666666E8,2.0763826666666666E8
155,1.9644446666666666E8,2.0338193333333334E8,2.1628133333333334E8,2.2132553333333334E8,2.2868593333333334E8,2.4279093333333334E8,2.0763826666666666E8
156,2.004906E8,2.0368666666666666E8,2.081488E8,2.2127593333333334E8,2.276752E8,2.4499673333333334E8,2.0763826666666666E8
157,1.9921906666666666E8,1.991086E8,2.1363526666666666E8,2.215722E8,2.2884E8,2.444816E8,2.0763826666666666E8
158,1.981078E8,2.0236653333333334E8,2.09909E8,2.1691273333333334E8,2.2801306666666666E8,2.4062266666666666E8,2.0763826666666666E8
159,1.992708E8,1.96239E8,2.0794206666666666E8,2.2090146666666666E8,2.300006E8,2.443432E8,2.0763826666666666E8
160,1.9416906666666666E8,1.978042E8,2.1297733333333334E8,2.1796893333333334E8,2.281858E8,2.3947986666666666E8,2.0763826666666666E8
161,1.9544746666666666E8,2.030394E8,2.0645593333333334E8,2.184954E8,2.2698526666666666E8,2.397666E8,2.0763826666666666E8
162,1.942338E8,2.0257773333333334E8,2.0992826666666666E8,2.170802E8,2.2470353333333334E8,2.3642573333333334E8,2.0763826666666666E8
163,1.9519093333333334E8,2.020008E8,2.0070333333333334E8,2.1967393333333334E8,2.2749873333333334E8,2.3720433333333334E8,2.0763826666666666E8
164,1.945632E8,1.9942753333333334E8,2.4328353333333334E8,2.1764286666666666E8,2.239806E8,2.4109153333333334E8,2.0763826666666666E8
165,1.9701933333333334E8,1.9674833333333334E8,2.0631833333333334E8,2.1849553333333334E8,2.2777953333333334E8,2.3995453333333334E8,2.0763826666666666E8
166,1.9387653333333334E8,1.9674173333333334E8,2.108434E8,2.1253266666666666E8,2.281776E8,2.357248E8,2.0763826666666666E8
167,1.903772E8,1.942432E8,2.075322E8,2.2055446666666666E8,2.234564E8,2.350662E8,2.0763826666666666E8
168,1.915626E8,1.9589446666666666E8,2.967207089734369E8,2.1569073333333334E8,2.2769633333333334E8,2.380376E8,2.0763826666666666E8
169,1.93735E8,1.9716813333333334E8,2.056228E8,2.1395786666666666E8,2.2500273333333334E8,2.304634E8,2.0763826666666666E8
170,1.923012E8,1.979078E8,2.0525866666666666E8,2.177016E8,2.2614253333333334E8,2.3288873333333334E8,2.0763826666666666E8
171,1.8894113333333334E8,1.9387513333333334E8,2.0426413333333334E8,2.1234353333333334E8,2.1607273333333334E8,2.3166486666666666E8,2.0763826666666666E8
172,1.84755E8,1.9133073333333334E8,2.0230593333333334E8,2.1691206666666666E8,2.2481166666666666E8,2.326444E8,2.0763826666666666E8
173,1.9761966666666666E8,1.956836E8,2.053064E8,2.1427073333333334E8,2.225566E8,2.2662826666666666E8,2.0763826666666666E8
174,1.8690586666666666E8,1.9490226666666666E8,2.017418E8,2.2013793333333334E8,2.2257786666666666E8,2.2750833333333334E8,2.0763826666666666E8
175,1.9211393333333334E8,2.0028833333333334E8,1.9982193333333334E8,2.1556093333333334E8,2.2856993333333334E8,2.2815506666666666E8,2.0763826666666666E8
176,1.8740813333333334E8,1.9613073333333334E8,2.0420353333333334E8,2.16164E8,2.2346513333333334E8,2.283996E8,2.0763826666666666E8
177,1.8946846666666666E8,1.9318113333333334E8,2.057382E8,2.71963E8,2.2434693333333334E8,2.28555E8,2.0763826666666666E8
178,1.904622E8,1.8970673333333334E8,1.9854813333333334E8,2.1621046666666666E8,2.1910953333333334E8,2.2578933333333334E8,2.0763826666666666E8
179,1.8694226666666666E8,1.9064433333333334E8,1.9831626666666666E8,2.216596E8,2.214592E8,2.2554873333333334E8,2.0763826666666666E8
180,1.8539786666666666E8,1.9812993333333334E8,2.043284E8,2.1596553333333334E8,2.1943053333333334E8,2.2607146666666666E8,2.0763826666666666E8
181,1.9252693333333334E8,1.9779773333333334E8,1.9896386666666666E8,2.0700046666666666E8,2.2263293333333334E8,2.2251473333333334E8,2.0763826666666666E8
182,1.849364E8,1.9916206666666666E8,2.01249E8,2.1049613333333334E8,2.2379066666666666E8,2.2307913333333334E8,2.0763826666666666E8
183,1.8491826666666666E8,1.9292153333333334E8,1.970016E8,2.1511526666666666E8,2.2400526666666666E8,2.204082E8,2.0763826666666666E8
184,1.8095686666666666E8,1.8588086666666666E8,2.4901813333333334E8,2.1391306666666666E8,2.204058E8,2.205594E8,2.0763826666666666E8
185,1.8865333333333334E8,1.936686E8,1.912438E8,2.1183193333333334E8,2.1745853333333334E8,2.191584E8,2.0763826666666666E8
186,1.896618E8,1.9816693333333334E8,1.95309E8,2.1321953333333334E8,2.1330133333333334E8,2.1965893333333334E8,2.0763826666666666E8
187,1.8156826666666666E8,1.9430093333333334E8,2.0078393333333334E8,2.1134386666666666E8,2.196206E8,2.1807293333333334E8,2.0763826666666666E8
188,1.826954E8,1.92794E8,2.0096973333333334E8,2.098926E8,2.167878E8,2.1783233333333334E8,2.0763826666666666E8
189,1.8251006666666666E8,1.9479193333333334E8,2.3659226666666666E8,2.0789473333333334E8,2.1352773333333334E8,2.2031673333333334E8,2.0763826666666666E8
190,1.8365966666666666E8,1.9486653333333334E8,1.9197373333333334E8,2.1227626666666666E8,2.209114E8,2.115844E8,2.0763826666666666E8
191,1.796576E8,1.861412E8,1.9372133333333334E8,2.071404E8,2.1575406666666666E8,2.700578E8,2.0763826666666666E8
192,1.8183853333333334E8,1.9389793333333334E8,1.947056E8,2.12711E8,2.1623806666666666E8,2.105194E8,2.0763826666666666E8
193,1.8356266666666666E8,1.937772E8,1.9238026666666666E8,2.0797786666666666E8,2.187726E8,2.126364E8,2.0763826666666666E8
194,1.7929E8,1.8599973333333334E8,1.933534E8,2.0436393333333334E8,2.1408386666666666E8,2.087068E8,2.0763826666666666E8
195,1.818994E8,1.9622013333333334E8,1.9467646666666666E8,2.0728646666666666E8,2.178072E8,2.0354953333333334E8,2.0763826666666666E8
196,1.8179073333333334E8,1.9188013333333334E8,1.9437186666666666E8,2.0029406666666666E8,2.184002E8,2.0646033333333334E8,2.0763826666666666E8
197,1.779362E8,2.5782853333333334E8,1.9708586666666666E8,2.0732793333333334E8,2.1964706666666666E8,2.05463E8,2.0763826666666666E8
198,1.792762E8,2.3878613333333334E8,1.9835286666666666E8,2.0769406666666666E8,2.1544473333333334E8,2.0524213333333334E8,2.0763826666666666E8
199,1.8078466666666666E8,1.9394213333333334E8,1.945922E8,2.0515473333333334E8,2.1735473333333334E8,2.0507933333333334E8,2.0763826666666666E8
